i,problem_size,np,N,number_of_iterations,time
1,100,1,100,100,5.775648593902588
1,200,1,200,100,21.363574981689453
1,500,1,500,100,134.67056465148926
1,100,4,50,100,1.4461910724639893
1,200,4,100,100,5.521151065826416
1,500,4,250,100,34.92380619049072
1,100,9,33,100,1.7098495960235596
1,200,9,66,100,6.362627267837524
1,500,9,166,100,37.329009771347046
1,100,16,25,100,0.6333305835723877
1,200,16,50,100,2.2115702629089355
1,500,16,125,100,13.869533061981201
2,100,1,100,100,5.186994314193726
2,200,1,200,100,22.17282247543335
2,500,1,500,100,129.86781072616577
2,100,4,50,100,1.6770884990692139
2,200,4,100,100,5.666110992431641
2,500,4,250,100,35.591389179229736
2,100,9,33,100,1.595735788345337
2,200,9,66,100,6.308255195617676
2,500,9,166,100,38.65853404998779
2,100,16,25,100,0.5900928974151611
2,200,16,50,100,2.3071701526641846
2,500,16,125,100,14.59632158279419
3,100,1,100,100,5.215605735778809
3,200,1,200,100,20.634788990020752
3,500,1,500,100,129.46234703063965
3,100,4,50,100,1.4622900485992432
3,200,4,100,100,5.438178062438965
3,500,4,250,100,34.031699657440186
3,100,9,33,100,1.593043327331543
3,200,9,66,100,6.095251560211182
3,500,9,166,100,40.41436171531677
3,100,16,25,100,0.5945286750793457
3,200,16,50,100,2.2784297466278076
3,500,16,125,100,14.304049491882324
4,100,1,100,100,6.770930767059326
4,200,1,200,100,20.995196104049683
4,500,1,500,100,131.85109424591064
4,100,4,50,100,1.4241092205047607
4,200,4,100,100,5.561995506286621
4,500,4,250,100,34.18966269493103
4,100,9,33,100,1.5948634147644043
4,200,9,66,100,6.3416664600372314
4,500,9,166,100,37.90277719497681
4,100,16,25,100,0.6167309284210205
4,200,16,50,100,2.203662157058716
4,500,16,125,100,13.76573371887207
5,100,1,100,100,5.346309185028076
5,200,1,200,100,21.140021085739136
5,500,1,500,100,132.12265300750732
5,100,4,50,100,1.6212315559387207
5,200,4,100,100,6.656340837478638
5,500,4,250,100,34.22562313079834
5,100,9,33,100,1.608917474746704
5,200,9,66,100,6.423454284667969
5,500,9,166,100,40.031090259552
5,100,16,25,100,0.6230089664459229
5,200,16,50,100,2.1614599227905273
5,500,16,125,100,14.725887298583984
