k,rank,time
0,0,0.004708894528448582
22,0,0.005151339806616306
27,0,0.005048265680670738
34,0,0.00503498874604702
39,0,0.005159319378435612
45,0,0.0052139004692435265
49,0,0.005786948837339878
55,0,0.0052796583622694016
61,0,0.005360838025808334
67,0,0.005415016785264015
75,0,0.005512050352990627
81,0,0.005548590794205666
87,0,0.00553949736058712
91,0,0.005590292625129223
97,0,0.0056141577661037445
104,0,0.005692995153367519
110,0,0.0057751769199967384
116,0,0.0058974530547857285
122,0,0.005972818471491337
128,0,0.006223232485353947
134,0,0.007102400995790958
141,0,0.007580062374472618
148,0,0.008573350496590137
155,0,0.007883288897573948
159,0,0.007798618637025356
165,0,0.007968906313180923
171,0,0.010596155188977718
180,0,0.012273547239601612
186,0,0.014825762249529362
193,0,0.015762951225042343
199,0,0.018210293725132942
205,0,0.018719674088060856
212,0,0.018120202235877514
218,0,0.0203109048306942
224,0,0.0202499283477664
231,0,0.020228100940585136
237,0,0.022462417371571064
243,0,0.020881634205579758
249,0,0.02369124721735716
255,0,0.026002198457717896
262,0,0.027681538835167885
268,0,0.028396342881023884
274,0,0.028272967785596848
282,0,0.03149322606623173
288,0,0.03051762282848358
294,0,0.03357271756976843
300,0,0.02949625812470913
307,0,0.03264587000012398
313,0,0.033425633795559406
319,0,0.03357464261353016
325,0,0.03513411246240139
332,0,0.03427083417773247
338,0,0.029612084850668907
344,0,0.03285080939531326
351,0,0.031016877852380276
357,0,0.028660643845796585
363,0,0.0315021313726902
369,0,0.031266034580767155
376,0,0.03152672480791807
382,0,0.02856339141726494
388,0,0.026798897422850132
394,0,0.026258235797286034
401,0,0.026846203953027725
408,0,0.024481414817273617
413,0,0.024556506425142288
420,0,0.02462140005081892
426,0,0.024519115686416626
432,0,0.02120542898774147
437,0,0.018880363553762436
444,0,0.01889895275235176
450,0,0.018890942446887493
456,0,0.014294978231191635
463,0,0.012716594152152538
469,0,0.01314868126064539
475,0,0.012573139742016792
480,0,0.013313082978129387
485,0,0.012664117850363255
493,0,0.0126374876126647
498,0,0.01228981651365757
504,0,0.014234132133424282
510,0,0.018948310054838657
516,0,0.01888198498636484
523,0,0.018083147704601288
529,0,0.02240186184644699
535,0,0.02459091693162918
541,0,0.02509405743330717
548,0,0.024286911822855473
553,0,0.025005856528878212
560,0,0.026621418073773384
565,0,0.02567977737635374
571,0,0.027424884028732777
577,0,0.027991830371320248
583,0,0.02957171853631735
590,0,0.03233127575367689
596,0,0.031328245997428894
603,0,0.028401918709278107
609,0,0.031009750440716743
616,0,0.032818226143717766
622,0,0.029742463491857052
628,0,0.0343383252620697
634,0,0.03425645548850298
641,0,0.033602941781282425
647,0,0.03353033401072025
653,0,0.03290582541376352
660,0,0.02957718726247549
667,0,0.03168402798473835
672,0,0.030309421010315418
679,0,0.031925616785883904
685,0,0.029455206356942654
692,0,0.028576364740729332
698,0,0.027939189225435257
704,0,0.026133062317967415
711,0,0.023036482743918896
717,0,0.020228520035743713
723,0,0.022102031856775284
729,0,0.020049721002578735
736,0,0.01987701002508402
742,0,0.019241061061620712
748,0,0.01771646272391081
754,0,0.018892262130975723
761,0,0.017859655432403088
767,0,0.015425961464643478
773,0,0.01388394646346569
779,0,0.01208474300801754
786,0,0.010455099865794182
792,0,0.010037705302238464
800,0,0.00786308292299509
806,0,0.007725250907242298
811,0,0.008235706016421318
816,0,0.008026301860809326
824,0,0.007263213396072388
831,0,0.00646953284740448
836,0,0.006092900410294533
842,0,0.005894397385418415
848,0,0.0059470683336257935
854,0,0.005668500438332558
860,0,0.00566790159791708
866,0,0.0055502718314528465
872,0,0.005547592416405678
878,0,0.005474654957652092
884,0,0.005509036593139172
890,0,0.005378968082368374
896,0,0.005311762914061546
902,0,0.005279099568724632
908,0,0.005035809241235256
912,0,0.005318706855177879
917,0,0.005294205620884895
924,0,0.005213916301727295
930,0,0.005240311846137047
936,0,0.005754957906901836
942,0,0.005156666040420532
949,0,0.005165738984942436
955,0,0.005057011730968952
2,2,0.005441861227154732
23,2,0.005492452532052994
29,2,0.0055692605674266815
35,2,0.005378779023885727
41,2,0.0052841659635305405
47,2,0.00503028929233551
52,2,0.0057587577030062675
58,2,0.005300026386976242
65,2,0.005286624655127525
69,2,0.00519680418074131
73,2,0.005436675623059273
80,2,0.00538016390055418
85,2,0.005428793840110302
93,2,0.005498811602592468
99,2,0.005577479489147663
106,2,0.005644388496875763
112,2,0.005388331599533558
118,2,0.005841207690536976
124,2,0.005871562287211418
130,2,0.006950736045837402
136,2,0.007396693341434002
145,2,0.008995275013148785
151,2,0.008213600143790245
157,2,0.007225801236927509
163,2,0.00742868147790432
168,2,0.010059421882033348
174,2,0.010597041808068752
181,2,0.012163814157247543
187,2,0.013816799968481064
192,2,0.015613666735589504
198,2,0.016293736174702644
203,2,0.01733141764998436
209,2,0.01890798844397068
217,2,0.01831862423568964
222,2,0.021154128946363926
228,2,0.019629457965493202
235,2,0.022829104214906693
242,2,0.02025918196886778
247,2,0.022017388604581356
253,2,0.02432470489293337
259,2,0.028058691881597042
267,2,0.029086807742714882
272,2,0.028767053969204426
279,2,0.03131704684346914
286,2,0.03155686054378748
293,2,0.03160897083580494
299,2,0.028865819796919823
305,2,0.031236877664923668
312,2,0.032423204742372036
318,2,0.03403920587152243
324,2,0.03366210591048002
330,2,0.03406875114887953
337,2,0.03073194343596697
343,2,0.030580696649849415
349,2,0.029681854881346226
355,2,0.028580226935446262
361,2,0.029786301776766777
367,2,0.030632659792900085
373,2,0.03137622307986021
380,2,0.029077458195388317
387,2,0.027679032646119595
393,2,0.026026438921689987
399,2,0.02600917872041464
405,2,0.026115501299500465
410,2,0.023138847202062607
416,2,0.023040980100631714
423,2,0.024985372088849545
429,2,0.023369556292891502
435,2,0.02102493681013584
440,2,0.018951034173369408
449,2,0.019078767858445644
455,2,0.014877795241773129
459,2,0.01295903418213129
467,2,0.012709436006844044
473,2,0.011449879966676235
478,2,0.014025403186678886
486,2,0.011749385856091976
492,2,0.012882638722658157
499,2,0.012316640466451645
505,2,0.014949220232665539
511,2,0.01908130943775177
517,2,0.01770733203738928
522,2,0.017409040592610836
528,2,0.021155434660613537
534,2,0.024717864580452442
542,2,0.024462804198265076
547,2,0.023760908283293247
552,2,0.0237743454053998
558,2,0.027659444138407707
566,2,0.026013396680355072
572,2,0.02664079423993826
578,2,0.028731733560562134
584,2,0.030919473618268967
591,2,0.03151688911020756
597,2,0.03070535883307457
602,2,0.027774647809565067
608,2,0.030374858528375626
615,2,0.03060978464782238
621,2,0.03028476983308792
627,2,0.03241260536015034
633,2,0.034015982411801815
640,2,0.03413300309330225
646,2,0.034926933236420155
652,2,0.03344324789941311
659,2,0.03023106325417757
666,2,0.033174581825733185
673,2,0.0286132600158453
678,2,0.030582023784518242
684,2,0.02997808065265417
691,2,0.027775933034718037
697,2,0.027337309904396534
703,2,0.025895752012729645
708,2,0.024302256293594837
714,2,0.022231771610677242
721,2,0.020849550142884254
727,2,0.02180778793990612
733,2,0.01978924684226513
741,2,0.01910477690398693
747,2,0.01797137502580881
753,2,0.018268350511789322
759,2,0.01842743717133999
766,2,0.015317363664507866
772,2,0.014363790862262249
778,2,0.012200222350656986
